goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
(∀x. P x ⟶ Q x) ∧ (∃x. P x) ⟶ (∃x. Q x),True,100.2623,auto,qwen2.5-coder:7b,209,2,0,False,True
(∀x. P x ⟷ Q x) ⟶ ((∀x. R x ⟶ P x) ⟷ (∀x. R x ⟶ Q x)),True,164.5791,auto,qwen2.5-coder:7b,208,0,0,False,True
(∀x. P x) ⟶ ((∀x. Q x ⟶ R x) ⟶ (∀x. P x ∧ Q x ⟶ R x)),True,19.0830,auto,qwen2.5-coder:7b,361,0,0,False,True
(∃x. P x ∧ (Q x ⟶ R x)) ⟶ ((∃x. P x ∧ Q x) ⟶ (∃x. R x)),False,251.4118,auto,qwen2.5-coder:7b,345,0,0,True,True
(if A then f x else f y) = f (if A then x else y),True,215.1130,auto,qwen2.5-coder:7b,300,0,0,False,True
(if A then (B ⟶ C) else True) ⟷ (¬ A ∨ (B ⟶ C)),True,21.3525,auto,qwen2.5-coder:7b,649,0,0,False,True
(∀x. f x = g x) ⟶ (∃!x. f x = a) ⟶ (∃!x. g x = a),True,20.9912,auto,qwen2.5-coder:7b,496,0,0,False,True
(∃!x. P x) ⟶ (∀x y. P x ∧ P y ⟶ x = y),False,673.1128,auto,qwen2.5-coder:7b,511,0,0,True,True
finite A ⟹ card (A ∪ B) = card A + card (B - A),True,106.8067,auto,qwen2.5-coder:7b,469,1,0,False,True
finite A ⟹ card (A ∩ B) + card (A - B) = card A - card (A ∩ (B - A)),True,96.2645,auto,qwen2.5-coder:7b,358,1,0,False,True
finite A ⟹ finite B ⟹ A ∩ B = {} ⟹ card (A ∪ B) = card A + card B,False,707.1015,auto,qwen2.5-coder:7b,693,0,0,True,True
finite A ⟹ card {x∈A. P x ∧ Q x} + card {x∈A. P x ∧ ¬ Q x} = card {x∈A. P x},True,223.9542,auto,qwen2.5-coder:7b,339,0,0,False,True
finite A ⟹ card {x∈A. P x} + card {x∈A. ¬ P x} = card A,False,615.5190,auto,qwen2.5-coder:7b,505,0,0,True,True
finite A ⟹ inj_on f A ⟹ card (f ` A) = card A,False,615.0935,auto,qwen2.5-coder:7b,384,0,0,True,True
finite A ⟹ card ((A × B) ∩ (C × D)) = card (A ∩ C) * card (B ∩ D),False,239.5794,auto,qwen2.5-coder:7b,524,0,0,True,True
finite A ⟹ finite B ⟹ card (A × B - C) = card (A × B) - card (C ∩ (A × B)),True,213.2203,auto,qwen2.5-coder:7b,380,1,0,False,True
