goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
¬ (∀x∈A. P x) ⟷ (∃x∈A. ¬ P x),True,97.1772,auto,qwen2.5-coder:7b,277,0,0,False,True
(∃x. P x ∧ Q x) ⟶ (∃x. P x),True,16.0651,auto,qwen2.5-coder:7b,166,0,0,False,True
(∀x. P x ⟶ Q) ⟶ ((∃x. P x) ⟶ Q),True,16.6744,auto,qwen2.5-coder:7b,214,0,0,False,True
(∀x∈A. P x ∧ Q x) ⟷ ((∀x∈A. P x) ∧ (∀x∈A. Q x)),True,20.3559,auto,qwen2.5-coder:7b,395,0,0,False,True
(∃x. P x ∨ Q x) ⟷ ((∃x. P x) ∨ (∃x. Q x)),True,21.4700,auto,qwen2.5-coder:7b,593,0,0,False,True
(¬ ∃x. P x) ⟷ (∀x. ¬ P x),True,16.2986,auto,qwen2.5-coder:7b,227,0,0,False,True
(∀x. P x ⟶ R) ⟶ ((∃x. P x) ⟶ R),True,147.4987,auto,qwen2.5-coder:7b,186,2,0,False,True
(∃x. P x) ⟶ (∀y. P y ⟶ ∃z. P z),True,81.2248,auto,qwen2.5-coder:7b,196,1,0,False,True
(∃x. P x) ⟶ (∃y. P y ∧ ∃z. P z),True,179.1821,auto,qwen2.5-coder:7b,214,2,0,False,True
((P ⟶ Q) ∧ (Q ⟶ R)) ⟶ (P ⟶ R),True,106.5469,auto,qwen2.5-coder:7b,526,1,0,False,True
(P ∧ (Q ∨ R)) ⟶ ((P ∧ Q) ∨ (P ∧ R)),True,22.7382,auto,qwen2.5-coder:7b,707,0,0,False,True
(P ⟶ Q) ⟷ (¬ P ∨ Q),True,99.4047,auto,qwen2.5-coder:7b,408,0,0,False,True
(P ∧ False) ⟶ Q,True,55.4179,auto,qwen2.5-coder:7b,111,1,0,False,True
(P ⟶ (Q ⟶ R)) ⟷ ((P ∧ Q) ⟶ R),True,104.2798,auto,qwen2.5-coder:7b,382,2,0,False,True
