goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
(A ∧ (B ⟶ C)) ⟶ ((A ∧ B) ⟶ C),True,37.4751,auto,qwen2.5-coder:7b,566,0,0,False,True
(A ⟶ (B ⟶ C)) ⟶ (A ∧ B ⟶ C),True,17.5246,auto,qwen2.5-coder:7b,228,0,0,False,True
(¬ A ∧ ¬ B) ⟷ ¬(A ∨ B),True,106.1569,auto,qwen2.5-coder:7b,275,0,0,False,True
(A ⟶ B) ⟷ (¬A ∨ B),True,20.0836,auto,qwen2.5-coder:7b,340,0,0,False,True
(A ⟶ B) ⟶ (¬B ⟶ ¬A),True,121.1020,auto,qwen2.5-coder:7b,135,1,0,False,True
(A ∧ (B ∨ C)) ⟶ ((A ∧ B) ∨ (A ∧ C)),True,20.1121,auto,qwen2.5-coder:7b,464,0,0,False,True
((A ⟶ C) ∧ (B ⟶ C)) ⟶ (A ∨ B ⟶ C),True,102.2270,auto,qwen2.5-coder:7b,304,2,0,False,True
(∀x. P x) ⟷ (¬ (∃x. ¬ P x)),True,64.2375,auto,qwen2.5-coder:7b,364,1,0,False,True
(∃x. P x ∧ Q x) ⟶ ((∃x. P x) ∧ (∃x. Q x)),True,17.1053,auto,qwen2.5-coder:7b,209,0,0,False,True
(∀x. P x ⟶ Q x) ⟶ ((∃x. P x) ⟶ (∃x. Q x)),True,18.2100,auto,qwen2.5-coder:7b,259,0,0,False,True
(if A then B else B) = B,True,17.5629,auto,qwen2.5-coder:7b,322,0,0,False,True
(f = g) ⟷ (∀x. f x = g x),False,127.2076,auto,qwen2.5-coder:7b,286,0,0,True,True
A ⊆ B ⟷ (A - B = {}),True,25.8414,auto,qwen2.5-coder:7b,530,2,0,False,True
Pow A ⊆ Pow B ⟷ A ⊆ B,False,125.6131,auto,qwen2.5-coder:7b,739,0,0,True,True
Pow A ∩ Pow B = Pow (A ∩ B),True,18.4687,auto,qwen2.5-coder:7b,286,0,0,False,True
(A - B) ∪ (A ∩ B) = A,True,16.0427,auto,qwen2.5-coder:7b,150,0,0,False,True
(A - B) ∩ B = {},False,127.9834,auto,qwen2.5-coder:7b,186,0,0,True,True
{x∈A. P x ∧ Q x} = {x∈A. P x} ∩ {x∈A. Q x},True,1219.6486,auto,qwen2.5-coder:7b,403,0,0,False,True
{x∈A. P x ∨ Q x} = {x∈A. P x} ∪ {x∈A. Q x},True,65.7225,auto,qwen2.5-coder:7b,175,0,0,False,True
{x∈A. True} = A,True,59.6072,auto,qwen2.5-coder:7b,158,0,0,False,True
{x∈A. False} = {},True,73.4408,auto,qwen2.5-coder:7b,176,2,0,False,True
f ` (A ∩ B) ⊆ (f ` A) ∩ (f ` B),True,20.1451,auto,qwen2.5-coder:7b,397,0,0,False,True
f ` (A ∪ B) = (f ` A) ∪ (f ` B),True,58.8901,auto,qwen2.5-coder:7b,352,0,0,False,True
(g ∘ f) ` A = g ` (f ` A),True,71.6482,auto,qwen2.5-coder:7b,301,1,0,False,True
(A × (B ∩ C)) = (A × B) ∩ (A × C),True,78.9838,auto,qwen2.5-coder:7b,222,2,0,False,True
((A ∩ B) × C) = (A × C) ∩ (B × C),False,125.5263,auto,qwen2.5-coder:7b,330,0,0,True,True
x ∈ (A ∩ B) ⟷ (x ∈ A ∧ x ∈ B),True,18.9815,auto,qwen2.5-coder:7b,251,0,0,False,True
x ∈ (A ∪ B) ⟷ (x ∈ A ∨ x ∈ B),True,16.2440,auto,qwen2.5-coder:7b,177,0,0,False,True
converse Id = Id,True,55.2020,auto,qwen2.5-coder:7b,153,0,0,False,True
(r O s) O t = r O (s O t),False,130.1868,auto,qwen2.5-coder:7b,145,2,0,True,True
Id O r = r,True,16.3469,auto,qwen2.5-coder:7b,196,0,0,False,True
r O Id = r,True,54.0048,auto,qwen2.5-coder:7b,225,0,0,False,True
converse (r O s) = (converse s) O (converse r),True,44.6947,auto,qwen2.5-coder:7b,274,2,0,False,True
Domain (Id_on A) = A,True,99.5873,auto,qwen2.5-coder:7b,146,1,0,False,True
Range (Id_on A) = A,True,16.9903,auto,qwen2.5-coder:7b,247,0,0,False,True
Id_on A ⊆ Id,False,126.0860,auto,qwen2.5-coder:7b,146,0,0,True,True
Domain (r O s) ⊆ Domain r,True,18.7326,auto,qwen2.5-coder:7b,226,1,0,False,True
Range (r O s) ⊆ Range s,False,139.9306,auto,qwen2.5-coder:7b,332,0,0,True,True
(λx. x) = id,False,121.0891,auto,qwen2.5-coder:7b,159,1,0,True,True
(f ∘ id) = f,False,611.7094,auto,qwen2.5-coder:7b,149,0,0,True,True
(id ∘ f) = f,True,21.0707,auto,qwen2.5-coder:7b,177,1,0,False,True
(f ∘ (g ∘ h)) = ((f ∘ g) ∘ h),True,16.6172,auto,qwen2.5-coder:7b,192,0,0,False,True
surj f ⟷ (∀y. ∃x. f x = y),True,20.1084,auto,qwen2.5-coder:7b,385,0,0,False,True
inj f ⟷ (∀x y. f x = f y ⟶ x = y),False,129.7916,auto,qwen2.5-coder:7b,257,0,0,True,True
inj_on f A ⟷ (∀x∈A. ∀y∈A. f x = f y ⟶ x = y),False,146.6904,auto,qwen2.5-coder:7b,429,0,0,True,True
(f(x := f x)) = f,True,94.0725,auto,qwen2.5-coder:7b,138,0,0,False,True
(f(x := y)) x = y,True,55.7461,auto,qwen2.5-coder:7b,105,0,0,False,True
x ≠ z ⟶ (f(x := y)) z = f z,True,145.6097,auto,qwen2.5-coder:7b,188,0,0,False,True
map id xs = xs,True,18.3446,auto,qwen2.5-coder:7b,375,0,0,False,True
map (g ∘ f) xs = map g (map f xs),True,25.7116,auto,qwen2.5-coder:7b,150,1,0,False,True
length (replicate n x) = n,True,16.0000,auto,qwen2.5-coder:7b,186,0,0,False,True
set (replicate n x) ⊆ {x},True,103.9644,auto,qwen2.5-coder:7b,121,0,0,False,True
filter P (rev xs) = rev (filter P xs),False,126.4680,auto,qwen2.5-coder:7b,685,0,0,True,True
concat (map (λx. [x]) xs) = xs,True,77.9932,auto,qwen2.5-coder:7b,534,0,0,False,True
